"Bureau of Justice Statistics",,,,,,,,,,,,
"filename: corpop35.csv",,,,,,,,,,,,
"title: Females under Local, State, or Federal correctional supervision, 1993 & 1988",,,,,,,,,,,,
"data source: BJS, National Prisoner Statistics data series (NPS-1)",,,,,,,,,,,,
"author: Paige Harrison",,,,,,,,,,,,
"refer questions to: askbjs@ojp.usdoj.gov      (202)307-0765",,,,,,,,,,,,
"coordinator:   Laura Maruschak",,,,,,,,,,,,
"date of version: 06/20/00",,,,,,,,,,,,
"1993 data from A16:A81 ",,,,,,,,,,,,
"1988 data from A86:A151",,,,,,,,,,,,
,,,,,,,,,,,,
"The numbers presented in this spreadsheet may have been revised from those previously",,,,,,,,,,,,
"published and, therefore, may vary from numbers available from other sources.",,,,,,,,,,,,
,,,,,,,,,,,,
"Females under Local, State, or Federal correctional supervision",,,,,,,,,,,,
,,,,,,,1993,,,,,
"Regions and ","Prison",,"Jail*",,"Probation",,"Parole",,"Total",,"Resident Population","Supervision rate"
"Jurisdictions",,,,,,,,,,,,
,,,,,,,,,,,,
"U.S. Total ",54037,,44184,,395498,,51627,,545346,,131994803,413
"Federal ",5552,,0,,"/",,"/",,5552,,,
"State ",48485,,44184,,395498,,51627,,539794,,,
,,,,,,,,,,,,
"Northeast ",7098,,5913,,51266,,17083,,81360,,26569441,306
"Connecticut",650,,0,,8247,,46,,8943,,1686774,530
"Maine ",49,,46,,1190,,2,,1287,,634971,203
"Massachusetts",385,,356,,"/",,349,,1090,,3120576,35
"New Hampshire",86,,137,,577,,62,,862,,572169,151
"New Jersey ",1133,,1087,,"/",,1363,,3583,,4066580,88
"New York ",3528,,2653,,23672,,4254,,34107,,9426035,362
"Pennsylvania ",1190,,1634,,16631,,10935,,30390,,6251608,486
"Rhode Island",49,,0,,"/",,34,,83,,518459,16
"Vermont",28,,0,,949,,38,,1015,,292269,347
,,,,,,,,,,,,
"Midwest ",9124,,6222,,86791,,7077,,109214,,31426952,348
"Illinois ",1688,,1067,,11253,,1441,,15449,,6024594,256
"Indiana",773,,644,,"/",,211,,1628,,2933249,56
"Iowa",281,,125,,2946,,1708,,5060,,1450796,349
"Kansas",275,,277,,4997,,546,,6095,,1296295,470
"Michigan",1798,,1084,,17044,,1143,,21069,,4898375,430
"Minnesota",192,,259,,15018,,140,,15609,,2299751,679
"Missouri",920,,458,,6976,,1178,,9532,,2709748,352
"Nebraska",162,,34,,3357,,94,,3647,,825155,442
"North Dakota",18,,135,,367,,8,,528,,319728,165
"Ohio",2584,,1363,,15544,,"/",,19491,,5728839,340
"South Dakota ",88,,66,,"/",,53,,207,,363307,57
"Wisconsin",345,,710,,9289,,555,,10899,,2577115,423
,,,,,,,,,,,,
"South ",21853,,20910,,213214,,24293,,280270,,45929204,610
"Alabama",1085,,587,,824,,"/",,2496,,2182418,114
"Arkansas",473,,214,,4101,,432,,5220,,1254914,416
"Delaware ",124,,0,,2803,,65,,2992,,359582,832
"Dist. of Columbia",364,,178,,2316,,461,,3319,,307075,1081
"Florida",2696,,3683,,35513,,1770,,43662,,7070889,617
"Georgia ",1693,,1720,,27290,,1778,,32481,,3545319,916
"Kentucky ",545,,547,,"/",,"/",,1092,,1954944,56
"Louisiana",1114,,1408,,6065,,1158,,9745,,2223767,438
"Maryland ",843,,834,,14232,,1005,,16914,,2543515,665
"Mississippi",533,,392,,"/",,"/",,925,,1373275,67
"North Carolina ",1081,,748,,17688,,1257,,20774,,3577284,581
"Oklahoma",1582,,513,,6187,,399,,8681,,1654540,525
"South Carolina ",987,,471,,5657,,554,,7669,,1878461,408
"Tennessee",508,,1327,,6508,,1015,,9358,,2634914,355
"Texas ",6949,,6589,,78716,,12980,,105234,,9130131,1153
"Virginia ",1197,,1581,,5314,,1311,,9403,,3296020,285
"West Virginia ",79,,118,,"/",,108,,305,,942156,32
,,,,,,,,,,,,
"West ",10410,,11139,,44227,,3174,,68950,,28069206,246
"Alaska ",122,,1,,443,,20,,586,,281796,208
"Arizona",993,,760,,91,,322,,2166,,2021659,107
"California",6745,,7652,,"/",,50,,14447,,15564149,93
"Colorado ",542,,529,,7607,,272,,8950,,1796152,498
"Hawaii",143,,0,,2121,,142,,2406,,572914,420
"Idaho",148,,102,,940,,57,,1247,,552179,226
"Montana ",67,,76,,1314,,64,,1521,,422664,360
"Nevada",425,,394,,2206,,306,,3331,,678186,491
"New Mexico ",168,,286,,1270,,113,,1837,,819992,224
"Oregon ",203,,336,,7109,,1382,,9030,,1539801,586
"Utah ",122,,180,,1399,,177,,1878,,943567,199
"Washington ",666,,772,,19198,,242,,20878,,2642586,790
"Wyoming",66,,51,,529,,27,,673,,233561,288
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,"1988",,,,,
"Regions and ","Prison",,"Jail*",,"Probation",,"Parole",,"Total",,"Resident Pop","Supervision rate"
"Jurisdictions",,,,,,,,,,,,
,,,,,,,,,,,,
"U.S. Total ",30145,,30411,,350852,,26816,,438224,,125413340,346
"Federal ",2821,,0,,14524,,1445,,18790,,,
"State ",27324,,30411,,336328,,25371,,419434,,,
,,,,,,,,,,,,
"Northeast ",3811,,4648,,44417,,6668,,59544,,26293000,214
"Connecticut",218,,0,,6882,,16,,7116,,1688158,422
"Maine ",29,,27,,531,,0,,587,,618036,95
"Massachusetts",260,,24,,"/",,201,,485,,3114336,16
"New Hampshire",24,,40,,443,,34,,541,,552387,98
"New Jersey ",704,,883,,"/",,1082,,2669,,3991526,67
"New York ",1760,,2688,,17270,,1656,,23374,,9357710,250
"Pennsylvania ",756,,986,,18455,,3651,,23848,,6170763,386
"Rhode Island",41,,0,,"/",,24,,65,,519173,13
"Vermont",19,,0,,836,,4,,859,,280911,306
,,,,,,,,,,,,
"Midwest ",5898,,3719,,79979,,2856,,92452,,30494360,303
"Illinois ",899,,558,,13294,,755,,15506,,5860479,265
"Indiana",498,,365,,"/",,208,,1071,,2830072,38
"Iowa",140,,78,,"/",,"/",,218,,1428376,15
"Kansas",277,,134,,4135,,313,,4859,,1256449,387
"Michigan",1333,,717,,21214,,571,,23835,,4742497,503
"Minnesota",128,,193,,10037,,112,,10470,,2191304,478
"Missouri",630,,309,,7753,,461,,9153,,2636219,347
"Nebraska",85,,26,,2510,,44,,2665,,805826,331
"North Dakota",6,,112,,308,,6,,432,,328237,132
"Ohio",1577,,805,,15292,,"/",,17674,,5595512,316
"South Dakota ",46,,44,,"/",,62,,152,,354699,43
"Wisconsin",279,,378,,5436,,324,,6417,,2464690,260
,,,,,,,,,,,,
"South ",10736,,12001,,149246,,10238,,182221,,43166218,422
"Alabama",710,,350,,1769,,6,,2835,,2093935,135
"Arkansas",295,,133,,3026,,346,,3800,,1213624,313
"Delaware ",95,,0,,1737,,65,,1897,,333972,568
"Dist. of Columbia",129,,484,,2355,,197,,3165,,336721,940
"Florida",2007,,2776,,34112,,179,,39074,,6362783,614
"Georgia ",873,,1118,,20649,,905,,23545,,3253252,724
"Kentucky ",348,,391,,"/",,"/",,739,,1895885,39
"Louisiana",669,,825,,5429,,"/",,6923,,2221913,312
"Maryland ",463,,589,,12601,,476,,14129,,2400024,589
"Mississippi",336,,203,,1218,,307,,2064,,1343926,154
"North Carolina ",696,,406,,12396,,463,,13961,,3339677,418
"Oklahoma",731,,277,,5190,,169,,6367,,1624222,392
"South Carolina ",695,,238,,4243,,280,,5456,,1759313,310
"Tennessee",402,,614,,5415,,781,,7212,,2499849,288
"Texas ",1648,,2686,,34669,,5448,,44451,,8459183,525
"Virginia ",573,,828,,3668,,535,,5604,,3077810,182
"West Virginia ",66,,83,,769,,81,,999,,950129,105
,,,,,,,,,,,,
"West ",6879,,10043,,62686,,5609,,85217,,25459762,337
"Alaska ",66,,2,,419,,47,,534,,256376,208
"Arizona",686,,510,,85,,255,,1536,,1789531,86
"California",4401,,7646,,39157,,3911,,55115,,14243992,387
"Colorado ",277,,443,,4483,,112,,5315,,1644262,323
"Hawaii",78,,0,,"/",,153,,231,,529263,44
"Idaho",84,,44,,501,,24,,653,,494816,132
"Montana ",58,,69,,541,,54,,722,,403777,179
"Nevada",342,,265,,"/",,"/",,607,,528327,115
"New Mexico ",139,,173,,787,,103,,1202,,756800,159
"Oregon ",347,,229,,4379,,192,,5147,,1394360,369
"Utah ",87,,96,,936,,93,,1212,,849888,143
"Washington ",249,,511,,11056,,644,,12460,,2336916,533
"Wyoming",65,,55,,342,,21,,483,,231454,209
,,,,,,,,,,,,
,,,,,,,,,,,,
"Note:  Definitions of terms and notes pertaining to individual jurisdictions can be found",,,,,,,,,,,,
"in the most recent edition of ""Correctional Populations in the United States,"" which can be  ",,,,,,,,,,,,
"located at www.ojp.usdoj.gov/bjs/pubalp2.htm#Correctional Populations in the United States.",,,,,,,,,,,,
"*There were no locally operated jails in Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. ",,,,,,,,,,,,
"/: Not reported",,,,,,,,,,,,
