Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: corpop03.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title:  Female prisoners under State or Federal jurisdiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: BJS, National Prisoner Statistics data series (NPS-1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Authors:  George Hill & Paige Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov      (202)307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coordinators:   Tracy Snell & Laura Maruschak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated: Doris J. James & Paige Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version:  12/6/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"The numbers presented in this spreadsheet may have been revised from those previously published and, therefore, may vary from numbers available from other sources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,

Female prisoners under State or Federal jurisdiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985,12/31/1984,12/31/1983,12/31/1982,12/31/1981,12/31/1980,12/31/1979,12/31/1978,12/31/1977

U.S. total ,"104,848","100,846","97,631","92,979","93,234","90,530","84,127","79,191","74,810","68,468","64,396","58,257","50,407","47,651","44,079","40,612","32,604","29,123","26,531","23,148","20,794","19,020","17,785","15,537","13,420","12,995","12,746","12,279"
Federal ,"12,164","11,635","11,234","10,973","10,245","9,913","9,186","8,306","7,700","7,398","7,140","6,891","6,399","5,654","5,011","4,435","3,242","3,027","2,833","2,404","1,996","1,754","1,627","1,559","1,399","1,536","1,828","1,903"
State,"92,684","89,211","86,397","82,006","82,989","80,617","74,941","70,885","67,110","61,070","57,256","51,366","44,008","41,997","39,068","36,177","29,362","26,096","23,698","20,744","18,798","17,266","16,158","13,978","12,021","11,459","10,918","10,376"

Northwest ,"8,910","9,108","9,381","9,108","9,082","9,730","9,281","8,968","9,030","8,401","8,129","7,841","7,340","7,226","6,307","5,765","4,440","3,755","3,161","2,713","2,499","2,182","1,972","1,881","1,463","1,313","1,241","1,225"
Connecticut  ,"1,488","1,548","1,694","1,447","1,406","1,459","1,357","1,401","1,380",975,999,994,710,660,683,647,550,452,395,323,287,281,204,252,206,142,145,143
Maine ,125,124,90,59,66,65,103,62,48,36,48,50,60,62,44,46,36,29,27,32,27,33,30,26,21,18,16,14
Massachusetts,741,708,704,713,663,742,746,733,750,656,706,653,564,636,596,498,447,409,326,311,264,238,217,192,106,87,82,107
New Hampshire ,119,117,144,129,120,117,116,109,105,109,110,86,79,73,44,38,24,18,22,18,14,14,10,7,5,5,6,2
New Jersey ,"1,470","1,517","1,586","1,628","1,650","1,862","1,653","1,404","1,281","1,307","1,168","1,133","1,095","1,107","1,041",886,704,587,417,388,368,342,324,286,198,188,176,180
New York ,"2,789","2,914","2,996","3,133","3,280","3,620","3,502","3,569","3,728","3,615","3,575","3,528","3,499","3,368","2,691","2,465","1,760","1,487","1,326","1,085","1,018",831,818,766,613,597,560,512
Pennsylvania,"1,827","1,823","1,821","1,711","1,579","1,618","1,517","1,424","1,477","1,502","1,322","1,194","1,106","1,088","1,006",944,767,679,591,500,475,397,328,312,272,248,229,236
Rhode Island ,208,222,214,193,238,188,235,213,229,157,152,155,181,195,166,205,124,80,46,39,33,37,24,25,26,17,16,17
Vermont ,143,135,132,95,80,59,52,53,32,44,49,48,46,37,36,36,28,14,11,17,13,9,17,15,16,11,11,14

Midwest,"16,545","15,682","15,306","14,872","14,598","14,140","13,710","12,765","11,682","10,864","9,936","9,181","8,729","8,101","7,521","7,074","5,919","5,344","4,800","4,317","3,837","3,601","3,440","2,980","2,590","2,576","2,349","2,221"
Illinois,"2,750","2,700","2,520","2,747","2,849","2,802","2,646","2,430","2,249","2,196","1,813","1,688","1,456","1,257","1,183","1,019",899,779,764,673,635,557,487,458,346,466,340,306
Indiana,"1,892","1,758","1,583","1,542","1,452","1,222","1,198","1,071","1,008",892,826,778,738,706,681,624,502,491,404,451,395,389,350,286,241,192,169,135
