"Bureau of Justice Statistics",,,,,,,,,,,,,,,,
"filename: corpop07.csv",,,,,,,,,,,,,,,,
"title:  Female prisoners in custody of State or Federal correctional authorities",,,,,,,,,,,,,,,,
"data source: BJS, National Prisoner Statistics data series (NPS-1)",,,,,,,,,,,,,,,,
"author:  George Hill & Paige Harrison",,,,,,,,,,,,,,,,
"refer questions to: askbjs@ojp.usdoj.gov      (202)307-0765",,,,,,,,,,,,,,,,
"coordinator:   Tracy Snell & Laura Maruschak",,,,,,,,,,,,,,,,
"date of version:  08/17/00",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"The numbers presented in this spreadsheet may have",,,,,,,,,,,,,,,,
"been revised from those previously published and, ",,,,,,,,,,,,,,,,
"therefore, may vary from numbers available from other sources.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Female Prisoners in Custody of State or Federal correctional authorities",,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,
,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985,12/31/1984,12/31/1983
,,,,,,,,,,,,,,,,
"U.S. total     ",77867,73586,70009,64002,56891,51289,47008,44673,41305,38193,31140,27801,25242,22105,19773,18264
"Federal",7960,7064,6549,6172,5903,5823,5462,4745,4170,3632,2870,2660,2537,2137,1687,1587
"State",69907,66522,63460,57830,50988,45466,41546,39928,37135,34561,28270,25141,22705,19968,18086,16677
,,,,,,,,,,,,,,,,
"Northeast",8767,8508,8506,8068,7905,7628,7146,6955,6017,5546,4348,3660,3174,2739,2555,2235
"Connecticut",1115,1059,1140,958,948,909,634,584,602,585,503,401,348,311,286,276
"Maine",67,55,39,30,38,52,57,59,43,45,33,26,23,27,24,30
"Massachusetts",718,710,723,657,706,653,564,636,596,584,547,485,399,374,312,281
"New Hampshire",160,131,141,123,138,135,127,109,73,5,5,1,2,1,1,2
"New Jersey",1405,1286,1015,1011,989,969,942,877,803,672,573,484,417,388,368,344
"New York",3541,3600,3728,3615,3575,3528,3499,3368,2691,2465,1760,1487,1329,1073,1038,851
"Pennsylvania",1508,1417,1475,1485,1322,1195,1107,1088,1010,945,772,681,597,506,475,400
"Rhode Island",201,197,213,145,140,139,170,197,163,209,127,81,48,42,38,37
"Vermont",52,53,32,44,49,48,46,37,36,36,28,14,11,17,13,14
,,,,,,,,,,,,,,,,
"Midwest",13349,12441,11578,10790,9872,9127,8702,8070,7472,7049,5877,5351,4723,4230,3713,3549
"Illinois",2646,2430,2249,2196,1813,1688,1456,1257,1183,1019,899,779,764,653,598,538
"Indiana",1150,1041,938,892,826,778,738,706,681,628,502,491,407,453,395,391
"Iowa",491,528,470,425,351,281,243,196,212,179,140,122,124,110,103,114
"Kansas",525,479,478,454,349,276,321,294,286,249,272,275,284,252,214,199
"Michigan",2052,2056,1920,1842,2021,1798,1842,1734,1688,1586,1333,1183,1018,814,683,660
"Minnesota",276,253,223,201,210,194,193,175,159,152,130,120,107,87,77,65
"Missouri",1879,1646,1464,1173,1044,920,919,821,777,718,630,629,453,379,342,308
"Nebraska",248,222,227,191,159,149,176,164,141,146,100,95,87,68,76,60
"North Dakota",70,66,57,37,41,30,31,46,30,42,26,35,11,10,12,10
"Ohio",2886,2811,2778,2743,2538,2538,2364,2257,1896,1954,1524,1275,1148,1123,968,971
"South Dakota",203,169,141,134,108,88,83,81,81,88,54,53,49,41,32,40
"Wisconsin",923,740,633,502,412,387,336,339,338,288,267,294,271,240,213,193
,,,,,,,,,,,,,,,,
"South ",29534,28633,27411,24764,20613,17298,15252,15050,13929,12979,10643,9838,9370,8421,8045,7542
"Alabama",1439,1347,1347,1254,1204,1123,1096,1050,949,839,746,727,588,544,500,428
"Arkansas",644,606,542,554,583,484,437,438,353,288,288,248,216,212,190,188
"Delaware",440,383,379,357,281,247,259,183,161,167,161,145,130,105,88,87
"Dist. of Col.",287,397,454,487,680,497,578,521,529,588,372,350,249,228,206,227
"Florida",3526,3419,3302,3660,3068,2699,2599,2621,2587,2472,1952,1696,1607,1286,1149,1175
