"Bureau of Justice Statistics",,,,,,,,,,,,,,,,
"filename: corpop08.csv",,,,,,,,,,,,,,,,
"title:  Male prisoners in custody of State or Federal correctional authorities",,,,,,,,,,,,,,,,
"data source: BJS, National Prisoner Statistics data series (NPS-1)",,,,,,,,,,,,,,,,
"author:  George Hill & Paige Harrison",,,,,,,,,,,,,,,,
"refer questions to: askbjs@ojp.usdoj.gov      (202)307-0765",,,,,,,,,,,,,,,,
"coordinator:   Tracy Snell & Laura Maruschak",,,,,,,,,,,,,,,,
"date of version:  08/17/00",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"The numbers presented in this spreadsheet may have",,,,,,,,,,,,,,,,
"been revised from those previously published and, ",,,,,,,,,,,,,,,,
"therefore, may vary from numbers available from other sources.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Male Prisoners in custody of State and Federal correctional authorities",,,,,,,,,,,,,,,,
,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985,12/31/1984,12/31/1983
,,,,,,,,,,,,,,,,
"U.S. total     ",1144569,1102978,1057755,1014540,933256,858092,803558,747862,702077,645189,575670,535013,501194,465488,428491,405634
"Federal",102833,94691,88539,83366,79597,74992,66609,59185,54668,49755,41335,39818,37244,33644,29188,27358
"State",1041736,1008287,969216,931174,853659,783100,736949,688677,647409,595434,534335,495195,463950,431844,399303,378276
,,,,,,,,,,,,,,,,
"Northeast",160746,156062,152703,148234,141721,133974,127129,120325,113240,103715,92127,84743,78837,73399,68537,62634
"Connecticut",14989,14499,14093,13723,13298,12475,10421,9989,9499,8192,7013,6560,6045,5699,5325,5106
"Maine",1562,1546,1437,1425,1422,1385,1453,1505,1498,1397,1252,1232,1187,1091,958,917
"Massachusetts",10264,10208,10080,9712,10690,9576,9489,8779,7749,7026,6315,5876,5310,5079,4662,4251
"New Hampshire",1980,1973,1896,1879,1928,1764,1737,1409,1284,1130,978,844,747,642,547,457
"New Jersey",25905,24211,22108,21797,20230,19268,18175,18195,16943,15345,14079,13166,11600,10940,9977,8798
"New York",66809,65783,65981,64871,63175,61041,58237,54494,52204,48767,42800,39355,37318,34273,32744,30073
"Pennsylvania",34932,33512,33001,30917,26963,24864,23883,22317,20893,18747,17157,15621,14630,13761,12651,11398
"Rhode Island",3117,3113,3020,2709,2797,2461,2569,2586,2214,2267,1791,1359,1323,1280,1195,1113
"Vermont",1188,1217,1087,1201,1218,1140,1165,1051,956,844,742,730,677,634,478,521
,,,,,,,,,,,,,,,,
"Midwest",208889,201378,190850,181967,171715,163683,157502,147610,138058,129104,114332,105662,97797,90582,81406,77390
"Illinois",40405,38358,36603,35462,34718,32807,30184,27858,26333,23693,20182,19071,18692,17626,16314,14899
"Indiana",16455,15470,14828,15233,14188,13692,13207,12302,12055,11725,10942,10380,9802,9635,8997,8969
"Iowa",6903,6410,5872,5481,5086,4617,4275,3949,3755,3405,2894,2729,2653,2577,2733,2700
"Kansas",7655,7435,7277,6601,6020,5456,5712,5617,5504,5379,5660,5600,4977,4321,3920,3424
"Michigan",43827,42715,40429,39270,38610,37520,37271,34689,32579,30053,26279,22696,19724,16941,13921,13850
"Minnesota",5204,5074,4581,4427,4162,3866,3656,3341,3056,2988,2812,2586,2408,2408,2254,2170
"Missouri",23099,22006,20554,17978,16867,15258,15270,15076,14166,13203,11546,10728,9856,9401,8343,7718
"Nebraska",3364,3126,2989,2860,2542,2334,2494,2427,2305,2273,2061,2129,2006,1818,1614,1630
"North Dakota",871,757,708,633,571,542,519,505,512,469,499,447,430,433,434,412
"Ohio",45285,44997,43190,41595,37715,37715,35633,33189,29605,28346,24589,22668,20924,19416,17364,16795
"South Dakota",2232,2070,1922,1730,1626,1482,1426,1310,1279,1189,976,1075,1042,1003,880,790
"Wisconsin",13589,12960,11897,10697,9610,8394,7855,7347,6909,6381,5892,5553,5283,5003,4632,4033
,,,,,,,,,,,,,,,,
"South",439868,426464,412398,402341,355621,309861,289771,267954,253184,232327,211721,201096,193714,185548,175879,170760
"Alabama",20828,20627,20077,19295,17975,17190,16055,15393,14402,12780,11619,11854,10747,10171,9525,8427
"Arkansas",9398,8373,8133,7810,7659,7218,7272,7041,6216,5489,5167,5075,4362,4292,4156,3940
"Delaware",5114,5049,4728,4442,4170,3882,3716,3125,2897,2906,2884,2596,2417,2087,1805,1829
"Dist. of Col.",6721,6651,8365,8790,9917,9845,9665,8082,8108,8630,8009,7295,6369,6176,4315,4117
"Florida",63698,61207,60461,60219,54100,50349,45703,43828,41405,37094,32375,30228,30034,26886,25757,25054
"Georgia",36788,34223,32900,32230,31413,26023,23835,22347,21168,19775,17858,17647,16025,15427,14641,14608
