,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LEMA931.csv//Report: Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources:  Law Enforcement Management and Administrative Statistics, 1993//BJS Contact: Brian Reaves, Ph.D., (202) 616-3287//reaves@justice. usdoj.gov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1a.  Number of full-time employees, sworn officers, and officers responding to calls, and percent change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"in number of full-time employees since 1990 in local law enforcement agencies, 1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"  Officers assigned",,,,,,,"Officers",,"       Percent change in",,,,,,,,,,,,,,,,
,,"    Full-time employees, 1993",,,,,,,"  to respond to ",,,,," City or ",,"per",,"       number of full-time",,,,,,,,,,,,,,,,
,,,,"    Sworn officers",,,,,"  calls for service",,,,," county",,"10,000",,"       employees, 1990-93",,,,,,,,,,,,,,,,
"County","Name of agency","   Total",,"Number",,"Percent",,,"Number",,"Percent",,," population",,"residents",,"   Total",," Sworn",,"Civilian",,,,,,,"Civilian",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALABAMA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Etowah","Gadsden Police",128,,107,,84,"%",,"      ---",,"      ---",,,42523,,25,,6,"%",8,"%",(5),"%",,,,,,21,121,99,22,"Etowah","Gadsden Police"
"Houston","Dothan Police",162,,110,,68,,,70,,64,"%",,53589,,21,,54,,28,,174,,,,,,,52,105,86,19,"Houston","Dothan Police"
"Jefferson","Jefferson County Sheriff",590,,468,,79,,,121,,26,,,651525,,7,,6,,6,,6,,,,,,,122,557,442,115,"Jefferson","Jefferson County Sheriff"
"Jefferson","Birmingham Police",980,,752,,77,,,489,,65,,,265968,,28,,8,,7,,13,,,,,,,228,907,706,201,"Jefferson","Birmingham Police"
"Madison","Huntsville Police",460,,343,,75,,,234,,68,,,159789,,21,,18,,22,,8,,,,,,,117,390,282,108,"Madison","Huntsville Police"
"Mobile","Mobile County Sheriff",444,,132,,30,,,"      ---",,"      ---",,,378643,,3,,69,,0,,138,,,,,,,312,263,132,131,"Mobile","Mobile County Sheriff"
"Mobile","Mobile Police",546,,432,,79,,,222,,51,,,196278,,22,,16,,18,,10,,,,,,,114,469,365,104,"Mobile","Mobile Police"
"Montgomery","Montgomery County Sheriff",197,,172,,87,,,83,,48,,,209085,,8,,15,,20,,(14),,,,,,,25,172,143,29,"Montgomery","Montgomery County Sheriff"
"Montgomery","Montgomery Police",553,,416,,75,,,195,,47,,,187106,,22,,1,,0,,5,,,,,,,137,548,418,130,"Montgomery","Montgomery Police"
"Tuscaloosa","Tuscaloosa Police",249,,193,,78,,,120,,62,,,77759,,25,,13,,15,,6,,,,,,,56,221,168,53,"Tuscaloosa","Tuscaloosa Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALASKA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ALASKA",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anchorage","Anchorage Police",380,,244,,64,,,"      ---",,"      ---",,,226338,,11,,(4),,(8),,5,,,,,,,136,396,266,130,"Anchorage","Anchorage Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARIZONA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ARIZONA",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maricopa","Maricopa County Sheriff",1885,,432,,23,,,244,,56,,,2122101,,2,,13,,4,,16,,,,,,,1453,1665,417,1248,"Maricopa","Maricopa County Sheriff"
"Maricopa","Chandler Police",166,,115,,69,,,110,,96,,,90533,,13,,8,,6,,13,,,,,,,51,153,108,45,"Maricopa","Chandler Police"
"Maricopa","Glendale Police",260,,201,,77,,,96,,48,,,148134,,14,,0,,9,,(22),,,,,,,59,260,184,76,"Maricopa","Glendale Police"
"Maricopa","Mesa Police",670,,444,,66,,,254,,57,,,288091,,15,,15,,16,,14,,,,,,,226,582,384,198,"Maricopa","Mesa Police"
"Maricopa","Phoenix Police",2603,,1983,,76,,,1021,,51,,,983403,,20,,1,,2,,(2),,,,,,,620,2584,1949,635,"Maricopa","Phoenix Police"
"Maricopa","Scottsdale Police",324,,214,,66,,,116,,54,,,130069,,16,,20,,24,,13,,,,,,,110,270,173,97,"Maricopa","Scottsdale Police"
"Maricopa","Tempe Police",346,,239,,69,,,164,,69,,,141865,,17,,6,,1,,18,,,,,,,107,327,236,91,"Maricopa","Tempe Police"
"Pima","Pima County Sheriff",948,,365,,39,,,323,,88,,,666880,,5,,7,,8,,7,,,,,,,583,883,338,545,"Pima","Pima County Sheriff"
"Pima","Tucson Police",992,,745,,75,,,494,,66,,,405390,,18,,0,,0,,1,,,,,,,247,989,745,244,"Pima","Tucson Police"
"Pinal","Pinal County Sheriff",223,,116,,52,,,72,,62,,,116379,,10,,5,,7,,3,,,,,,,107,212,108,104,"Pinal","Pinal County Sheriff"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARKANSAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ARKANSAS",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jefferson","Pine Bluff Police",144,,116,,81,,,93,,80,,,57140,,20,,2,,5,,(7),,,,,,,28,141,111,30,"Jefferson","Pine Bluff Police"
"Pulaski","Pulaski County Sheriff",280,,250,,89,,,75,,30,,,349660,,7,,15,,150,,(79),,,,,,,30,243,100,143,"Pulaski","Pulaski County Sheriff"
"Pulaski","Little Rock Police",495,,402,,81,,,225,,56,,,175795,,23,,14,,15,,9,,,,,,,93,434,349,85,"Pulaski","Little Rock Police"
"Pulaski","North Little Rock Police",200,,140,,70,,,72,,51,,,61741,,23,,15,,13,,20,,,,,,,60,174,124,50,"Pulaski","North Little Rock Police"
"Sebastian","Fort Smith Police",161,,115,,71,,,52,,45,,,72798,,16,,13,,6,,35,,,,,,,46,143,109,34,"Sebastian","Fort Smith Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CALIFORNIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CALIFORNIA",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alameda","Alameda County Sheriff",1213,,731,,60,,,164,,22,,,1279182,,6,,(14),,(17),,(8),,,,,,,482,1404,878,526,"Alameda","Alameda County Sheriff"
"Alameda","Berkeley Police",253,,180,,71,,,"      ---",,"      ---",,,102724,,18,,(2),,1,,(8),,,,,,,73,257,178,79,"Alameda","Berkeley Police"
"Alameda","Fremont Police",268,,180,,67,,,134,,74,,,173339,,10,,(34),,(18),,(53),,,,,,,88,406,220,186,"Alameda","Fremont Police"
"Alameda","Hayward Police",260,,155,,60,,,68,,44,,,111498,,14,,3,,(4),,14,,,,,,,105,253,161,92,"Alameda","Hayward Police"
"Alameda","Oakland Police",1036,,675,,65,,,291,,43,,,372242,,18,,10,,10,,10,,,,,,,361,944,616,328,"Alameda","Oakland Police"
"Contra Costa","Contra Costa County Sheriff",822,,574,,70,,,179,,31,,,803732,,7,,5,,1,,17,,,,,,,248,783,571,212,"Contra Costa","Contra Costa County Sheriff"
"Contra Costa","Concord Police",166,,131,,79,,,91,,69,,,111348,,12,,(17),,(10),,(38),,,,,,,35,201,145,56,"Contra Costa","Concord Police"
"Contra Costa","Richmond Police",235,,175,,74,,,120,,69,,,87425,,20,,(11),,(2),,(30),,,,,,,60,265,179,86,"Contra Costa","Richmond Police"
"El Dorado","El Dorado County Sheriff",278,,142,,51,,,63,,44,,,125995,,11,,20,,8,,36,,,,,,,136,232,132,100,"El Dorado","El Dorado County Sheriff"
"Fresno","Fresno County Sheriff",800,,318,,40,,,181,,57,,,667490,,5,,5,,6,,5,,,,,,,482,760,301,459,"Fresno","Fresno County Sheriff"
"Fresno","Fresno Police",660,,425,,64,,,323,,76,,,354202,,12,,0,,(1),,3,,,,,,,235,657,429,228,"Fresno","Fresno Police"
"Kern ","Kern County Sheriff",880,,516,,59,,,198,,38,,,543477,,9,,(3),,(4),,(1),,,,,,,364,906,538,368,"Kern ","Kern County Sheriff"
"Kern","Bakersfield Police",332,,241,,73,,,134,,56,,,174820,,14,,(1),,2,,(9),,,,,,,91,336,236,100,"Kern","Bakersfield Police"
"Los Angeles","Los Angeles County Sheriff",11285,,7629,,68,,,2483,,33,,,8863164,,9,,4,,(0),,15,,,,,,,3656,10808,7640,3168,"Los Angeles","Los Angeles County Sheriff"
"Los Angeles","Beverly Hills Police",191,,128,,67,,,79,,62,,,31971,,40,,(2),,2,,(7),,,,,,,63,194,126,68,"Los Angeles","Beverly Hills Police"
"Los Angeles","Burbank Police",230,,144,,63,,,101,,70,,,93643,,15,,(3),,(1),,(4),,,,,,,86,236,146,90,"Los Angeles","Burbank Police"
"Los Angeles","Compton Police",175,,114,,65,,,60,,53,,,90454,,13,,(30),,(10),,(51),,,,,,,61,250,126,124,"Los Angeles","Compton Police"
"Los Angeles","Culver City Police",161,,117,,73,,,57,,49,,,38793,,30,,(1),,0,,(2),,,,,,,44,162,117,45,"Los Angeles","Culver City Police"
"Los Angeles","Downey Police",153,,121,,79,,,"      ---",,"      ---",,,91444,,13,,6,,15,,(20),,,,,,,32,145,105,40,"Los Angeles","Downey Police"
"Los Angeles","El Monte Police",157,,120,,76,,,77,,64,,,106209,,11,,8,,6,,12,,,,,,,37,146,113,33,"Los Angeles","El Monte Police"
"Los Angeles","Glendale Police",299,,214,,72,,,153,,71,,,180038,,12,,(7),,5,,(27),,,,,,,85,320,204,116,"Los Angeles","Glendale Police"
"Los Angeles","Inglewood Police",281,,200,,71,,,80,,40,,,109602,,18,,(0),,(3),,7,,,,,,,81,282,206,76,"Los Angeles","Inglewood Police"
"Los Angeles","Long Beach Police",1146,,734,,64,,,350,,48,,,429433,,17,,18,,14,,27,,,,,,,412,968,643,325,"Los Angeles","Long Beach Police"
"Los Angeles","Los Angeles Police",10145,,7662,,76,,,3500,,46,,,3485398,,22,,(7),,(8),,(7),,,,,,,2483,10965,8295,2670,"Los Angeles","Los Angeles Police"
"Los Angeles","Los Angeles Airport Police",313,,215,,69,,,128,,60,,,"              -",,"         -",,5,,5,,3,,,,,,,98,299,204,95,"Los Angeles","Los Angeles Airport Police"
"Los Angeles","Los Angeles School Police",363,,283,,78,,,135,,48,,,"              -",,"         -",,(2),,(2),,0,,,,,,,80,369,289,80,"Los Angeles","Los Angeles School Police"
"Los Angeles","Pasadena Police",326,,215,,66,,,92,,43,,,131591,,16,,(7),,(3),,(15),,,,,,,111,352,222,130,"Los Angeles","Pasadena Police"
"Los Angeles","Pomona Police",281,,174,,62,,,97,,56,,,131723,,13,,(4),,1,,(12),,,,,,,107,293,172,121,"Los Angeles","Pomona Police"
"Los Angeles","Santa Monica Police",322,,184,,57,,,166,,90,,,86905,,21,,5,,14,,(5),,,,,,,138,307,161,146,"Los Angeles","Santa Monica Police"
"Los Angeles","Torrance Police",348,,245,,70,,,140,,57,,,133107,,18,,27,,26,,29,,,,,,,103,274,194,80,"Los Angeles","Torrance Police"
"Los Angeles","West Covina Police",179,,112,,63,,,69,,62,,,96086,,12,,17,,3,,52,,,,,,,67,153,109,44,"Los Angeles","West Covina Police"
"Marin","Marin County Sheriff",253,,172,,68,,,50,,29,,,230096,,7,,(1),,(2),,1,,,,,,,81,255,175,80,"Marin","Marin County Sheriff"
"Monterey","Monterey County Sheriff",363,,280,,77,,,140,,50,,,355660,,8,,(5),,(3),,(13),,,,,,,83,384,289,95,"Monterey","Monterey County Sheriff"
"Monterey","Salinas Police",162,,125,,77,,,77,,62,,,108777,,11,,(10),,(5),,(23),,,,,,,37,180,132,48,"Monterey","Salinas Police"
,,,,,,,,,,,,,,,,,,,,"      Personnel   1",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1a. - continued",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Table 1a. - continued",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"  Officers assigned",,,,,,,"Officers",,"       Percent change in",,,,,,,,,,,,,,,,
,,"    Full-time employees, 1993",,,,,,,"  to respond to ",,,,," City or ",,"per",,"       number of full-time",,,,,,,,,,,,,,,,
,,,,"    Sworn officers",,,,,"  calls for service",,,,," county",,"10,000",,"       employees, 1990-93",,,,,,,,,,,,,,,,
"County","Name of agency","   Total",,"Number",,"Percent",,,"Number",,"Percent",,," population",,"residents",,"   Total",," Sworn",,"Civilian",,,,,,,"Civilian",,,,"County","Name of agency"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CALIFORNIA (cont.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CALIFORNIA (cont.)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orange","Orange County Sheriff-Coroner",2186,,1183,,54,"%",,359,,30,"%",,2410556,,5,,1,"%",(3),"%",6,"%",,,,,,1003,2169,1219,950,"Orange","Orange County Sheriff-Coroner"
"Orange","Anaheim Police",524,,353,,67,,,170,,48,,,266406,,13,,6,,3,,15,,,,,,,171,493,344,149,"Orange","Anaheim Police"
"Orange","Brea Police",132,,106,,80,,,56,,53,,,32873,,32,,9,,8,,13,,,,,,,26,121,98,23,"Orange","Brea Police"
"Orange","Costa Mesa Police",194,,138,,71,,,62,,45,,,96357,,14,,(3),,(2),,(5),,,,,,,56,200,141,59,"Orange","Costa Mesa Police"
"Orange","Fullerton Police",214,,142,,66,,,67,,47,,,114144,,12,,(2),,(6),,7,,,,,,,72,218,151,67,"Orange","Fullerton Police"
"Orange","Garden Grove Police",222,,161,,73,,,105,,65,,,143050,,11,,(4),,(4),,(3),,,,,,,61,231,168,63,"Orange","Garden Grove Police"
"Orange","Huntington Beach Police",451,,229,,51,,,"      ---",,"      ---",,,181519,,13,,23,,3,,52,,,,,,,222,368,222,146,"Orange","Huntington Beach Police"
"Orange","Irvine Police",195,,128,,66,,,66,,52,,,110330,,12,,7,,1,,20,,,,,,,67,183,127,56,"Orange","Irvine Police"
"Orange","Newport Beach Police",219,,149,,68,,,65,,44,,,66643,,22,,(2),,0,,(7),,,,,,,70,224,149,75,"Orange","Newport Beach Police"
"Orange","Orange Police",201,,141,,70,,,70,,50,,,110658,,13,,(8),,(7),,(12),,,,,,,60,219,151,68,"Orange","Orange Police"
"Orange","Santa Ana Police",590,,381,,65,,,240,,63,,,293742,,13,,5,,(0),,15,,,,,,,209,563,382,181,"Orange","Santa Ana Police"
"Riverside","Riverside County Sheriff",2098,,1554,,74,,,489,,31,,,1170413,,13,,21,,63,,(30),,,,,,,544,1729,954,775,"Riverside","Riverside County Sheriff"
"Riverside","Corona Police",181,,114,,63,,,65,,57,,,76095,,15,,6,,4,,10,,,,,,,67,171,110,61,"Riverside","Corona Police"
"Riverside","Riverside Police",442,,301,,68,,,189,,63,,,226505,,13,,4,,1,,12,,,,,,,141,423,297,126,"Riverside","Riverside Police"
"Sacramento","Sacramento County Sheriff",1495,,1068,,71,,,327,,31,,,1041219,,10,,(2),,(5),,7,,,,,,,427,1528,1129,399,"Sacramento","Sacramento County Sheriff"
"Sacramento","Sacramento Police",889,,570,,64,,,397,,70,,,369365,,15,,3,,(5),,19,,,,,,,319,866,599,267,"Sacramento","Sacramento Police"
"San Bernardino","San Bernardino County Sheriff",1919,,1181,,62,,,406,,34,,,1418380,,8,,18,,4,,50,,,,,,,738,1630,1139,491,"San Bernardino","San Bernardino County Sheriff"
"San Bernardino","Fontana Police",163,,110,,67,,,77,,70,,,87535,,13,,(8),,2,,(24),,,,,,,53,178,108,70,"San Bernardino","Fontana Police"
"San Bernardino","Ontario Police",259,,178,,69,,,119,,67,,,133179,,13,,(15),,(2),,(34),,,,,,,81,304,181,123,"San Bernardino","Ontario Police"
"San Bernardino","Rialto Police",151,,106,,70,,,98,,92,,,72388,,15,,9,,15,,(2),,,,,,,45,138,92,46,"San Bernardino","Rialto Police"
"San Bernardino","San Bernardino Police",401,,254,,63,,,120,,47,,,164164,,15,,11,,6,,20,,,,,,,147,362,239,123,"San Bernardino","San Bernardino Police"
"San Diego","San Diego County Sheriff",2621,,1594,,61,,,450,,28,,,2498016,,6,,22,,17,,30,,,,,,,1027,2155,1368,787,"San Diego","San Diego County Sheriff"
"San Diego","Chula Vista Police",242,,161,,67,,,97,,60,,,135163,,12,,4,,5,,1,,,,,,,81,233,153,80,"San Diego","Chula Vista Police"
"San Diego","El Cajon Police",197,,124,,63,,,56,,45,,,88693,,14,,(8),,(7),,(9),,,,,,,73,214,134,80,"San Diego","El Cajon Police"
"San Diego","Escondido Police",207,,141,,68,,,101,,72,,,108635,,13,,20,,14,,35,,,,,,,66,173,124,49,"San Diego","Escondido Police"
"San Diego","Oceanside Police",237,,160,,68,,,144,,90,,,128398,,12,,(17),,(13),,(23),,,,,,,77,284,184,100,"San Diego","Oceanside Police"
"San Diego","San Diego Police",2550,,1847,,72,,,943,,51,,,1110549,,17,,2,,2,,3,,,,,,,703,2498,1816,682,"San Diego","San Diego Police"
"San Diego","San Diego Harbor Police",131,,121,,92,,,106,,88,,,"              -",,"         -",,4,"*",1,"*",67,"*",,,,,,10,126,120,6,"San Diego","San Diego Harbor Police"
"San Francisco","San Francisco Police",2188,,1780,,81,,,1240,,70,,,723959,,25,,(15),,0,,(48),,,,,,,408,2566,1777,789,"San Francisco","San Francisco Police"
