"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,
"filename: corpop24.csv",,,,,,,,,,,,,,,,,,,,,,
"title: Sentenced female prisoners released from State or Federal jurisdiction",,,,,,,,,,,,,,,,,,,,,,
"data source: BJS, National Prisoner Statistics data series (NPS-1)",,,,,,,,,,,,,,,,,,,,,,
"author: Paige Harrison",,,,,,,,,,,,,,,,,,,,,,
"refer questions to: askbjs@ojp.usdoj.gov      (202)307-0765",,,,,,,,,,,,,,,,,,,,,,
"coordinator:   Laura Maruschak",,,,,,,,,,,,,,,,,,,,,,
"date of version: 06/12/00",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"The numbers presented in this spreadsheet may have been revised from those previously",,,,,,,,,,,,,,,,,,,,,,
"published and, therefore, may vary from numbers available from other sources.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Sentenced female prisoners released from State or Federal jurisdiction",,,,,,,,,,,,,,,,,,,,,,
,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,"12/31/90*",12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985,12/31/1984,12/31/1983,12/31/1982,12/31/1981,12/31/1980,12/31/1979,12/31/1978,12/31/1977
,,,,,,,,,,,,,,,,,,,,,,
"U.S. Total ",57345,51806,47690,46206,39806,39350,38146,37184,35110,30508,24880,22097,17594,15454,14170,14245,11240,9845,9732,9707,8910,8601
"Federal ",3067,2557,2403,2249,2054,1827,"/","/","/",1843,1498,1415,1254,1068,1049,1287,862,720,955,1230,1329,1119
"State ",54278,49249,45287,43957,37752,37523,38146,37184,35110,28665,23382,20682,16340,14386,13121,12958,10378,9125,8777,8477,7581,7482
,,,,,,,,,,,,,,,,,,,,,,
"Northeast ",4754,5043,4600,4603,4618,4943,5091,4610,4045,3027,2243,1816,1472,1506,1523,1465,1268,1012,1117,1015,887,981
"Connecticut",230,207,116,173,204,562,935,988,813,567,313,118,92,92,162,95,98,114,243,257,155,117
"Maine ",25,25,24,28,41,38,42,41,45,33,21,30,20,10,11,13,10,6,4,5,7,18
"Massachusetts",305,317,236,302,304,348,351,425,386,283,238,213,170,290,376,382,298,193,171,124,99,181
"New Hampshire",63,71,77,73,55,60,42,24,21,17,11,16,7,7,9,5,5,3,6,4,2,11
"New Jersey ",1202,1293,1213,1001,979,876,924,666,513,477,400,356,291,270,256,225,198,156,169,163,168,212
"New York ",2236,2388,2279,2485,2407,2484,2187,1904,1709,1197,904,794,615,572,445,499,392,310,333,299,258,276
"Pennsylvania ",567,635,566,450,570,510,539,508,490,416,334,269,255,242,244,230,247,213,179,148,187,159
"Rhode Island",51,54,42,50,46,43,52,40,40,27,21,19,14,18,11,7,9,11,6,7,5,2
"Vermont",75,53,47,41,12,22,19,14,28,10,1,1,8,5,9,9,11,6,6,8,6,5
,,,,,,,,,,,,,,,,,,,,,,
"Midwest ",10513,9494,9389,8743,7859,7432,6933,6227,6006,4677,3976,3554,3308,2805,2885,2786,2490,2217,2188,1917,1940,1885
"Illinois ",2419,2300,2209,1833,1567,1285,1142,1076,957,707,594,682,652,562,495,428,479,308,412,276,255,216
"Indiana",920,828,686,624,520,492,477,468,413,318,323,273,348,274,253,264,208,178,155,127,134,130
"Iowa",625,494,426,397,371,288,228,250,242,203,195,171,98,116,79,84,70,97,90,68,80,89
"Kansas",452,456,425,353,316,387,325,264,302,328,240,214,175,138,159,162,143,99,77,98,117,91
"Michigan",1096,932,942,1003,902,953,876,825,753,585,487,410,364,375,555,513,471,492,481,425,397,354
"Minnesota",315,277,213,274,205,207,214,188,183,163,153,102,109,95,73,97,71,66,61,77,70,81
"Missouri",1440,1261,1146,1024,893,896,715,628,587,515,508,338,287,228,145,110,42,128,129,101,92,98
"Nebraska",159,180,151,135,143,141,125,126,112,106,95,74,66,48,36,54,35,29,35,47,46,76
"North Dakota",65,40,35,34,30,18,26,16,27,16,8,13,10,7,7,13,4,1,4,4,6,3
"Ohio",2307,2166,2616,2553,2477,2416,2463,2044,2149,1529,1124,1071,1011,799,882,885,837,700,641,577,634,627
"South Dakota ",164,112,117,77,69,47,70,74,86,37,58,50,50,36,48,45,19,17,25,19,14,19
"Wisconsin",551,448,423,436,366,302,272,268,195,170,191,156,138,127,153,131,111,102,78,98,95,101
,,,,,,,,,,,,,,,,,,,,,,
"South ",21590,18567,16982,17985,14087,14818,16170,15409,15131,12841,10548,9790,7397,6764,6010,6397,4870,4320,4019,3824,3539,3441
"Alabama",689,933,826,704,689,735,739,618,401,574,439,239,262,314,315,297,172,221,188,215,161,158
"Arkansas",509,428,451,470,349,391,395,410,458,260,231,167,152,171,145,118,95,90,125,99,107,114
"Delaware ",195,170,153,127,137,141,106,91,83,93,78,73,47,47,28,35,33,34,26,25,25,19
"Dist. of Columbia",443,556,502,345,462,259,312,252,261,249,242,215,153,206,201,185,139,143,148,150,175,133
"Florida",1858,1908,2214,1767,2462,3055,3430,3674,4100,3695,2753,1996,1071,1002,763,1063,651,515,466,558,450,494
"Georgia ",1369,1413,1471,1269,864,995,1359,1215,1272,973,750,861,659,614,624,629,553,470,404,339,349,285
"Kentucky ",875,683,705,611,552,534,505,427,375,334,284,146,205,181,217,199,201,168,161,141,146,154
"Louisiana",1428,1237,1123,994,819,773,722,478,439,396,337,372,268,234,215,166,129,122,90,91,126,120
"Maryland ",904,881,788,671,631,605,577,573,445,343,283,265,233,236,212,233,189,253,288,313,289,298
"Mississippi",448,498,417,348,277,388,384,284,261,216,208,176,177,129,113,141,120,102,93,74,81,56
"North Carolina ",922,1186,1417,1411,2272,2197,2057,1801,1385,1181,833,686,550,487,416,568,529,491,375,382,362,316
"Oklahoma",1099,1000,912,867,929,666,705,620,635,641,486,430,272,243,314,303,183,201,186,176,110,148
"South Carolina ",691,628,543,564,642,653,613,502,499,388,339,347,291,251,249,213,183,156,193,164,141,179
"Tennessee",852,756,730,537,435,427,468,423,439,372,258,342,233,350,397,243,297,202,206,186,170,188
"Texas ",8254,5089,3521,6064,1637,1760,2561,2982,3224,2558,2485,2957,2340,1950,1433,1664,1114,896,855,697,661,595
"Virginia ",963,1152,1143,1166,898,1180,1196,1017,816,491,500,475,445,315,323,312,266,230,190,198,148,165
"West Virginia ",91,49,66,70,32,59,41,42,38,77,42,43,39,34,45,28,16,26,25,16,38,19
,,,,,,,,,,,,,,,,,,,,,,
"West ",17421,16145,14316,12626,11188,10330,9952,10938,9928,8120,6615,5522,4163,3311,2703,2310,1750,1576,1453,1721,1215,1175
"Alaska ",341,322,264,207,"/",180,104,106,140,51,55,38,29,24,28,26,45,14,23,11,9,17
"Arizona",768,814,819,759,712,693,663,650,505,445,332,266,236,217,150,136,152,164,132,149,141,113
"California",12656,11711,10535,9412,8470,7233,7140,8026,7292,6040,4773,4008,2839,2164,1761,1401,990,847,728,994,549,581
"Colorado ",583,519,404,480,288,365,251,297,255,158,153,153,147,159,119,123,82,68,73,73,70,80
"Hawaii",611,329,276,155,175,183,130,187,76,31,49,45,36,18,20,10,12,3,16,8,2,4
"Idaho",341,313,244,182,133,147,123,112,108,81,48,67,45,32,43,45,45,38,40,31,35,40
"Montana ",100,76,89,42,35,63,44,46,42,44,41,36,29,32,18,26,26,26,17,23,8,10
"Nevada",471,381,369,341,288,400,345,293,335,244,196,165,125,103,58,67,44,68,64,57,52,39
"New Mexico ",229,352,247,112,186,195,153,151,172,133,142,98,107,102,92,106,48,52,30,58,38,30
"Oregon ",202,230,190,218,243,299,471,577,573,566,543,410,323,236,202,178,132,117,127,123,116,104
"Utah ",274,262,215,162,140,125,119,136,106,80,74,44,69,44,52,45,36,19,28,26,21,16
"Washington ",764,767,604,517,493,404,382,292,282,202,193,163,154,155,141,127,123,145,155,162,161,137
"Wyoming",81,69,60,39,25,43,27,65,42,45,16,29,24,25,19,20,15,15,20,6,13,4
,,,,,,,,,,,,,,,,,,,,,,
"Note:  Definitions of terms and notes pertaining to individual jurisdictions can be found",,,,,,,,,,,,,,,,,,,,,,
"in the most recent edition of ""Correctional Populations in the United States,"" which can be  ",,,,,,,,,,,,,,,,,,,,,,
"located at www.ojp.usdoj.gov/bjs/pubalp2.htm#Correctional Populations in the United States.",,,,,,,,,,,,,,,,,,,,,,
"/: Not reported",,,,,,,,,,,,,,,,,,,,,,
