"Bureau of Justice Statistics",,,,,
"filename:  eetrnd05.csv",,,,,
"table 5.  Total direct and intergovernmental expenditure, by activity and level of government, fiscal years 1980-99",,,,,
"NCJ 178272",,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,
"author: Sidra Lea Gifford",,,,,
"refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765",,,,,
"date of version: 1/8/2002",,,,,
,,,,,
"Table 5.  Total direct and intergovernmental expenditure, by activity and level of government, fiscal years 1980-99",,,,,
,,,,,
,,,"     Total justice expenditure in thousands",,
"Level of",,,,,
"government",,,"        Police","        Judicial",
"and year",,"        Total","        protection","        and legal","Corrections"
,,,,,
"All governments",,,,,
"  1980",,"...",$15163029,"...",$6900751
"  1981",,"...",16822094,"...",7868822
"  1982",,$35841916,19022184,$7770785,9048947
"  1983",,39680167,20648200,8620604,10411363
"  1984",,43942690,22685766,9463180,11793744
"  1985",,48563068,24399355,10628816,13534897
"  1986",,53499805,26254993,11485446,15759366
"  1987",,58871348,28767553,12555026,17548769
"  1988",,65230542,30960824,13970563,20299155
"  1989",,70949468,32794182,15588664,22566622
"  1990",,79433959,35923479,17356826,26153654
"  1991",,87566819,38971240,19298379,29297200
"  1992",,93776852,41326531,20988888,31461433
"  1993",,97541826,44036756,21558403,31946667
"  1994",,103470564,46004536,22601706,34864322
"  1995",,112868448,48644529,24471689,39752230
"  1996",,120194175,53007425,26157907,41028843
"  1997",,129793452,57753530,28528774,43511148
"  1998*",,135899453,60828213,29901380,45169860
"  1999",,146555501,65364070,32184560,49006871
,,,,,
"Federal",,,,,
"  1980",,"...",$1941000,"...",$408000
"  1981",,"...",2118000,"...",436000
"  1982",,$4458000,2527000,$1390000,541000
"  1983",,4844000,2815000,1523000,606000
"  1984",,5868000,3396000,1785000,687000
"  1985",,6416000,3495000,2129000,792000
"  1986",,6595000,3643000,2090000,862000
"  1987",,7496000,4231000,2271000,994000
"  1988",,8851000,4954000,2639000,1258000
"  1989",,9674000,5307000,2949000,1418000
"  1990",,12798000,5666000,5398000,1734000
"  1991",,15231000,6725000,6384000,2122000
"  1992",,17423000,7400000,7377000,2646000
"  1993",,18591000,8069000,7832000,2690000
