"Bureau of Justice Statistics",,,,,,,,,,,,,
"filename:  cv96110.csv",,,,,,,,,,,,,
"Table 110: Number and percent distribution of series victimizations",,,,,,,,,,,,,
"and of victimizations not in series, by type of crime",,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 1996   NCJ 174445",,,,,,,,,,,,,
"produced by:  Cathy Maston ",,,,,,,,,,,,,
"authors:  Patsy Klaus and Cathy Maston",,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov     202-307-0765",,,,,,,,,,,,,
"date of version: 06/30/00",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 110. Personal and property crimes, 1996:",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Number and percent distribution of series victimizations",,,,,,,,,,,,,
"and of victimizations not in series, by type of crime",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,"Total victimizations",,,,"             Series victimizations",,,,"Victimizations not in series",,
"Type of crime",,"     Number",,"Percent",,"     Number",,"Percent",,"     Number",,"Percent",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Personal crimes",,10029310,,100.0,"%",586050,,5.8,"%",9443260,,94.2,"%"
,,,,,,,,,,,,,
"Crimes of violence",,9709270,,100.0,,584300,,6.0,,9124960,,94.0,
"   Completed violence",,2851720,,100.0,,151680,,5.3,,2700040,,94.7,
"   Attempted/threatened violence",,6857550,,100.0,,432630,,6.3,,6424920,,93.7,
"   Rape/Sexual assault",,320920,,100.0,,13830,"*",4.3,"*",307100,,95.7,
"      Rape/Attempted rape",,200760,,100.0,,4100,"*",2.0,"*",196660,,98.0,
"         Rape",,101680,,100.0,,4100,"*",4.0,"*",97580,,96.0,
"         Attempted rape/a",,99080,,100.0,,"0 ","*",0.0,"*",99080,,100.0,
"      Sexual assault/b",,120160,,100.0,,9730,"*",8.1,"*",110430,,91.9,
"   Robbery",,1170460,,100.0,,36130,,3.1,,1134330,,96.9,
"      Completed/property taken",,786560,,100.0,,29220,,3.7,,757340,,96.3,
"         With injury",,255740,,100.0,,6210,"*",2.4,"*",249530,,97.6,
"         Without injury",,530820,,100.0,,23010,"*",4.3,"*",507810,,95.7,
"      Attempted to take property",,383890,,100.0,,6910,"*",1.8,"*",376980,,98.2,
"         With injury",,79460,,100.0,,"0 ","*",0.0,"*",79460,,100.0,
"         Without injury",,304430,,100.0,,6910,"*",2.3,"*",297520,,97.7,
"   Assault",,8217890,,100.0,,534350,,6.5,,7683540,,93.5,
"      Aggravated",,2024940,,100.0,,114570,,5.7,,1910370,,94.3,
"         With injury",,566980,,100.0,,54100,,9.5,,512880,,90.5,
"         Threatened with weapon",,1457960,,100.0,,60470,,4.1,,1397480,,95.9,
"      Simple",,6192950,,100.0,,419780,,6.8,,5773170,,93.2,
"         With minor injury",,1300860,,100.0,,60520,,4.7,,1240330,,95.3,
"         Without injury",,4892100,,100.0,,359260,,7.3,,4532840,,92.7,
"Purse snatching/Pocket picking",,320050,,100.0,,1750,"*",0.5,"*",318300,,99.5,
"   Completed purse snatching",,50530,,100.0,,"0","*",0.0,"*",50530,,100.0,
"   Attempted purse snatching",,24800,"*",100.0,"*","0","*",0.0,"*",24800,"*",100.0,"*"
"   Completed pocket picking ",,244710,,100.0,,1750,"*",0.7,"*",242970,,99.3,
,,,,,,,,,,,,,
"Property crimes",,27649560,,100.0,"%",296960,,1.1,"%",27352600,,98.9,"%"
,,,,,,,,,,,,,
"Household burglary",,4920170,,100.0,,75480,,1.5,,4844690,,98.5,
"   Completed",,4122030,,100.0,,66200,,1.6,,4055830,,98.4,
"      Forcible entry",,1527200,,100.0,,16030,"*",1.0,"*",1511180,,99.0,
"      Unlawful entry without force",,2594830,,100.0,,50180,,1.9,,2544650,,98.1,
"   Attempted forcible entry",,798140,,100.0,,9280,"*",1.2,"*",788860,,98.8,
"Motor vehicle theft",,1392400,,100.0,,4960,"*",0.4,"*",1387440,,99.6,
"   Completed",,943270,,100.0,,4960,"*",0.5,"*",938300,,99.5,
"   Attempted",,449130,,100.0,,"0 ","*",0.0,"*",449130,,100.0,
"Theft",,21336990,,100.0,,216520,,1.0,,21120480,,99.0,
"   Completed",,20509460,,100.0,,206650,,1.0,,20302810,,99.0,
"      Less than $50",,7671470,,100.0,,91700,,1.2,,7579770,,98.8,
"      $50 - $249",,7422800,,100.0,,49250,,0.7,,7373550,,99.3,
"      $250 or more",,4253930,,100.0,,37860,,0.9,,4216070,,99.1,
"      Amount not available",,1161260,,100.0,,27840,,2.4,,1133430,,97.6,
"   Attempted",,827530,,100.0,,9870,"*",1.2,"*",817660,,98.8,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Note: Detail may not add to total shown because of rounding.",,,,,,,,,,,,,
"* Estimate is based on about 10 or fewer sample cases.",,,,,,,,,,,,,
"a/Includes verbal threats of rape.",,,,,,,,,,,,,
"b/Includes threats.",,,,,,,,,,,,,
