Bureau of Justice Statistics,,,,,,,,,
Filename: p06at04,,,,,,,,,
"Appendix table 4: State and Federal prisoners held in private facilities or local jails, by jurisdiction, yearend 2005 and 2006",,,,,,,,,
Report title: Prisoners in 2006 NCJ 219416,,,,,,,,,
"Data source: National Prisoner Statistics, 1B",,,,,,,,,
"Author(s): William J. Sabol, Heather Couture, and Paige M. Harrison",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 11/28/07,,,,,,,,,

"Appendix table 4. State and Federal prisoners held in private facilities or local jails, by jurisdiction, yearend 2005 and 2006",,,,,,,,,
,,Private Facilities,,,,Local Jails,,,
Region and Jurisdiction,,2005,2006,Percent of inmates/a,,2005,2006,Percent of inmates/a,
U.S. Total,,"107,940","113,791",7.2,%,"73,164","77,987",5.0,%
,Federal/b,"27,046","27,726",14.4,%,"1,044","2,010",1.0,%
,State,"80,894","86,065",6.2,,"72,120","75,977",5.3,
Northeast,,"3,580","4,107",2.3,%,"1,990","2,022",1.1,%
,Connecticut,0,0,0,,~,~,~,
,Maine,20,19,0.9,,0,0,0.0,
,Massachusetts,0,0,0,,212,177,1.6,
,New Hampshire,0,0,0,,13,13,0.5,
,New Jersey,"2,600","2,602",9.5,,"1,754","1,821",6.7,
,New York,0,0,0,,11,11,0.0,
,Pennsylvania,503,962,2.2,,0,0,0.0,
,Rhode Island,0,0,0,,~,~,~,
,Vermont,457,524,23.7,,~,~,~,
Midwest,,"3,514","4,387",1.7,%,"3,238","2,545",1.0,%
,Illinois,0,0,0,,0,0,0.0,
,Indiana,622,"1,290",4.9,,"1,773","1,180",4.5,
,Iowa,0,0,0,,0,0,0.0,
,Kansas,0,0,0,,0,0,0.0,
,Michigan,0,0,0,,53,62,0.1,
,Minnesota,760,979,10.7,,674,508,5.6,
,Missouri,0,0,0,,0,0,0.0,
,Nebraska,0,0,0,,0,0,0.0,
,North Dakota,47,0,0,,45,48,3.5,
,Ohio,"2,075","2,080",4.2,,0,0,0.0,
,South Dakota,10,12,0.4,,99,61,1.8,
,Wisconsin,0,26,0.1,,594,686,2.9,
South,,"51,823","53,205",8.5,%,"60,621","65,212",10.5,%
,Alabama,320,9,0,,"2,281","1,160",4.1,
,Arkansas,0,0,0,,"1,056",842,6.1,
,Delaware,0,0,0,,~,~,~,
,Florida,"6,261","6,350",6.8,,41,34,0.0,
,Georgia,"4,778","5,075",9.6,,"4,948","4,970",9.4,
,Kentucky,"2,224","2,507",12.5,,"5,674","5,921",29.6,
,Louisiana,"2,952","3,066",8.3,,"16,183","16,230",43.9,
,Maryland,129,121,0.5,,142,162,0.7,
,Mississippi,"4,779","4,860",23.1,,"4,426","4,684",22.2,
,North Carolina,210,194,0.5,,0,0,0.0,
,Oklahoma,"5,908","5,708",21.8,,"1,850","1,955",7.4,
,South Carolina,14,13,0.1,,384,381,1.6,
,Tennessee,"5,162","5,126",19.9,,"7,112","6,451",25.1,
,Texas,"17,517","18,627",10.8,,"10,569","15,091",8.8,
,Virginia,"1,569","1,549",4.2,,"4,679","5,965",16.3,
,West Virginia,0,0,0,,"1,276","1,366",23.8,
West,,"21,977","24,366",7.7,%,"6,271","6,198",2.0,%
,Alaska,"1,365","1,681",33.2,,~,~,~,
,Arizona,"4,800","5,213",14.5,,185,42,0.1,
,California,"2,801","3,147",1.8,,"2,518","2,468",1.4,
,Colorado,"4,039","4,855",21.6,,393,430,1.9,
,Hawaii,"1,902","1,915",32.1,,~,~,~,
,Idaho,"1,596","1,925",27,,569,459,6.4,
,Montana,895,963,26.9,,687,682,19.1,
,Nevada,0,0,0,,148,148,1.1,
,New Mexico,"2,843","2,930",44.1,,122,140,2.1
,Oregon,0,0,0,,48,55,0.4
,Utah,0,0,0,,"1,246","1,328",20.7
,Washington,890,954,5.4,,332,424,2.4
,Wyoming,846,783,37,,23,22,1.0
~Not applicable.  Prison and jails form an integrated system.,,,,,,,,
a/Based on the total number of inmates under State or Federal jurisdiction.,,,,,,,,
"b/Includes Federal inmates held in non-secure privately operated facilities (7,144 in 2005 and 7,463 in 2006).",,,,,,,,
