"",,,,,,,,,,,,,,,,,,,,,,,
"LEMA9311.csv//Report: Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,,,,,,,,,,,,
"Sources:  Law Enforcement Management and Administrative Statistics, 1993//BJS Contact: Brian Reaves, Ph.D., (202) 616-3287//reaves@justice. usdoj.gov",,,,,,,,,,,,,,,,,,,,,,,
"Table 11a.  Patrol allocation in local law enforcement agencies, 1993 ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Average* patrol allocation during 24-hour period for shifts of 7 hours or longer",,,,,,,,,,,,,,,,,
,,,,,,,,,"    Percent of",,,,,,,,,,,,,,
,,,,,,,"    Number",,"    units with ",,,,,"    Percent of patrol units assigned to:",,,,,,,,,
,,"   Officers on patrol",,,,,"    of patrol",,"    more than",,,,,,,"     Motor-",,,,,,,
"County","Name of agency","  Number",,"   Percent",,,"    units",,"    one officer",,,"Total",,"Auto",,"     cycle",,"      Foot",,"       Bike",,"      Other",
,,,,,,,,,,,,,,,,,,,,,,,
"ALABAMA",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Etowah","Gadsden Police",16,,15,"%",,13,,28,"%",,100,"%",100,"%",0,"%",0,"%",0,"%",0,"%"
"Houston","Dothan Police",37,,34,,,37,,0,,,100,,100,,0,,0,,0,,0,
"Jefferson","Jefferson County Sheriff",22,,5,,,22,,0,,,100,,91,,9,,0,,0,,0,
"Jefferson","Birmingham Police",81,,11,,,80,,1,,,100,,71,,11,,0,,1,,17,
"Madison","Huntsville Police",105,,31,,,99,,7,,,100,,86,,11,,3,,0,,0,
"Mobile","Mobile County Sheriff",24,,18,,,24,,0,,,100,,100,,0,,0,,0,,0,
"Mobile","Mobile Police",212,,49,,,185,,15,,,100,,76,,18,,0,,0,,6,
"Montgomery","Montgomery County Sheriff",26,,15,,,17,,53,,,100,,100,,0,,0,,0,,0,
"Montgomery","Montgomery Police",95,,23,,,71,,34,,,100,,98,,0,,2,,0,,0,
"Tuscaloosa","Tuscaloosa Police",69,,36,,,59,,18,,,100,,67,,12,,17,,3,,1,
,,,,,,,,,,,,,,,,,,,,,,,
"ALASKA",," ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Anchorage","Anchorage Police",65,,26,,,65,,0,,,100,,100,,0,,0,,0,,0,
,,,,,,,,,,,,,,,,,,,,,,,
"ARIZONA",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Maricopa","Maricopa County Sheriff",106,,25,,,105,,1,,,100,,98,,0,,0,,0,,2,
"Maricopa","Chandler Police",44,,38,,,44,,0,,,100,,83,,8,,1,,2,,6,
"Maricopa","Glendale Police",24,,12,,,24,,0,,,100,,73,,21,,0,,6,,0,
"Maricopa","Mesa Police",96,,22,,,96,,0,,,100,,84,,16,,0,,0,,0,
"Maricopa","Phoenix Police",572,,29,,,562,,2,,,100,,84,,9,,0,,7,,0,
"Maricopa","Scottsdale Police",62,,29,,,61,,2,,,100,,93,,2,,0,,3,,2,
"Maricopa","Tempe Police","      ---",,"      ---",,,"        ---",,"          ---",,,"      ---",,"      ---",,"      ---",,"      ---",,"      ---",,"      ---",
"Pima","Pima County Sheriff",109,,30,,,102,,7,,,100,,100,,0,,0,,0,,0,
"Pima","Tucson Police",247,,33,,,221,,12,,,100,,90,,9,,0,,1,,0,
"Pinal","Pinal County Sheriff",51,,44,,,51,,0,,,100,,100,,0,,0,,0,,0,
,,,,,,,,,,,,,,,,,,,,,,,
"ARKANSAS",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Jefferson","Pine Bluff Police",41,,35,,,35,,17,,,100,,94,,6,,0,,0,,0,
"Pulaski","Pulaski County Sheriff",22,,9,,,22,,0,,,100,,100,,0,,0,,0,,0,
"Pulaski","Little Rock Police",99,,25,,,90,,9,,,100,,89,,1,,5,,3,,2,
"Pulaski","North Little Rock Police",38,,27,,,37,,3,,,100,,100,,0,,0,,0,,0,
"Sebastian","Fort Smith Police",24,,20,,,24,,0,,,100,,77,,23,,0,,0,,0,
,,,,,,,,,,,,,,,,,,,,,,,
"CALIFORNIA",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Alameda","Alameda County Sheriff",26,,4,,,26,,0,,,100,,100,,0,,0,,0,,0,
"Alameda","Berkeley Police",102,,56,,,96,,6,,,100,,47,,4,,42,,6,,0,
"Alameda","Fremont Police",67,,37,,,67,,0,,,100,,83,,11,,0,,6,,0,
"Alameda","Hayward Police","      ---",,"      ---",,,"        ---",,"          ---",,,"      ---",,"      ---",,"      ---",,"      ---",,"      ---",,"      ---",
"Alameda","Oakland Police",222,,33,,,190,,17,,,100,,80,,9,,7,,1,,3,
"Contra Costa","Contra Costa County Sheriff",27,,5,,,27,,0,,,100,,100,,0,,0,,0,,0,
"Contra Costa","Concord Police",37,,28,,,37,,0,,,100,,89,,9,,1,,0,,0,
